participant_id,participant_name
B01390,CLARION CAPITAL ASIA LTD
B01638,KILMOREY SECURITIES LTD
B01605,ESSENCE INTERNATIONAL FINANCIAL HOLDINGS
B02004,INNOVATION SECURITIES CO LTD
B00206,SUNRISE INVESTMENT CO
B02172,CITYLINE SECURITIES LTD
B01326,KING SUN SECURITIES LTD
B01173,RIFA SECURITIES LTD
B01566,K.K.M. SECURITIES LTD
B02094,ADVENT SECURITIES (HONG KONG) LTD
C00035,SCHRODERS ASIA LTD
B00704,SEAGA INTERNATIONAL
B02180,PLUTUS SECURITIES LTD
B01998,CHINA SUNRISE SECURITIES (INTL) LTD
C00107,"INDUSTRIAL BANK CO., LTD."
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD
B02141,XIN YONGAN INTERNATIONAL SECURITIES
B01076,BARCLAYS CAPITAL SECURITIES ASIA LTD
B01240,TSUN CHI YUEN SECURITIES CO LTD
B02024,NAN GUO INTERNATIONAL SECURITIES LTD
B01606,EWARTON SECURITIES LTD
B01220,WING ON CHEONG SECURITIES CO LTD
B01366,UBS SECURITIES (HONG KONG) LTD
B00128,KAM WAH SECURITIES CO
C00041,OCBC BANK (HONG KONG) LTD
B01515,KOKUSAI SECURITIES (HONG KONG) LTD
B00451,SOO PUI CHEN & CO
B01375,AVEREST CAPITAL LTD
B01625,METRO CAPITAL SECURITIES LTD
B01973,PC SECURITIES LTD
B01687,CHARLES SCHWAB HONG KONG SECURITIES LTD
B00212,ALEXANDRA STOCK CO
B01790,YIELDFUL SECURITIES LTD
B01786,KO KUN STOCK CO LTD
C00081,BOOM SECURITIES (H.K.) LTD
B00661,WAI FAT SECURITIES CO
B02133,CHINA SECURITIES LTD
B01331,WALCO SECURITIES CO
B01571,KARFORD SECURITIES LTD
B01855,VISION FINANCE (SECURITIES) LTD
B02122,YUAN TONG GLOBAL SECURITIES LTD
B01288,BOND'S SECURITIES LTD
B02037,KAI YIN SECURITIES LTD
B01557,CHU CHUNG TIN SECURITIES LTD
B01780,TUNG SHUN SECURITIES LTD
B01490,HSBC SECURITIES BROKERS (ASIA) LTD
B01678,GLS SECURITIES LTD
B00105,TAFONWORTHY INVESTMENT CO
B01860,KVB KUNLUN SECURITIES (HK) LTD
B00345,K. S. KAM & CO
B01715,PRESIDENT SECURITIES (HONG KONG) LTD
B01110,J.P. MORGAN BROKING (HONG KONG) LTD
B01691,GREATER CHINA SECURITIES LTD
B01637,COMPASS SECURITIES LTD
B01957,PINESTONE SECURITIES LTD
B00597,LUNE YICK & CO
B01330,NOMURA SECURITIES (HK) LTD
B01170,PBI SECURITIES HONG KONG LTD
B01980,SHANXI SECURITIES INTERNATIONAL LTD
B01810,ASTRUM CAPITAL MANAGEMENT LTD
B01344,DAIWA SECURITIES SMBC (ASIA) LTD
B01886,CNI SECURITIES GROUP LTD
B02188,HOMILY WORLDWIDE SECURITIES COMPANY LTD
B01387,LUEN HING SECURITIES LTD
B01711,UNI-ALPHA SECURITIES LTD
B01472,SUN GROWTH SECURITIES LTD
B00623,NATIONAL SECURITIES CO
B01990,GRANDLY FINANCIAL SERVICES LTD
B01088,CREDIT AGRICOLE INDOSUEZ CHEUVREUX
B01276,LEHMAN BROTHERS SECURITIES ASIA LTD
B01376,PUBLIC SECURITIES LTD
B02123,CHINA DIFI SECURITIES LTD
B01305,CHIA TAI SECURITIES LTD
B01599,POLARIS SECURITIES (HONG KONG) LTD
B01569,TANG PING KONG LTD
B01235,LEE ON TAT INVESTMENT LTD
B02176,CHINA PA SECURITIES (HONG KONG) CO LTD
B00257,SWIFT STOCK INVESTMENT CO
B00390,LUEN KAM INVESTMENT CO
C00076,CHEKIANG FIRST BANK LTD
B01858,YUANTA SECURITIES (HONG KONG) CO LTD
B01719,LING SECURITIES LTD
B01230,GAOYU SECURITIES LIMITED
P00012,BII FINANCE CO LTD
B01640,BEIJING SECURITIES LTD
B01199,HANG TUNG SECURITIES LTD
B01935,MAGIC COMPASS SECURITIES LTD
B01383,RICH PLEASURE SECURITIES LTD
B01181,FOSUN INTERNATIONAL SECURITIES LTD
B01389,ZHONGRONG PT SECURITIES LTD
B01854,MAINFIRST SECURITIES HONG KONG LTD
B00472,ONWARD SECURITIES CO
C00089,HONG KONG MONETARY AUTHORITY
B01462,MANGO FINANCIAL LTD
C00017,DEUTSCHE BANK CAPITAL MARKETS (ASIA) LTD
B01474,VICTORFIELD SECURITIES LTD
A00001,THE SEHK OPTIONS CLEARING HOUSE LTD
B80007,PAUL SECURITIES CO
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD
B01815,T & F EQUITIES LTD
B02100,WEALTHY SECURITIES LTD
B01740,WIN SECURITIES LTD
B00473,WINLAND STOCK & SHARES CO
B01906,IMPERIUM INTERNATIONAL SECURITIES LTD
B01735,SUPERFUND FINANCIAL (HONG KONG) LTD
B01542,GRAND ONWARD SECURITIES LTD
B00195,LING CO
B01563,XINKONG INTERNATIONAL SECURITIES LTD
B01283,V SIX SECURITIES LTD
B02175,WEBULL SECURITIES LTD
B02065,FORTUNE ORIGIN SECURITIES LTD
B01461,BILLION SECURITIES CO LTD
B80020,HUNG YIEH CO
B00201,WEALTHY INVESTMENT CO
B01538,MORTON SECURITIES LTD
B01746,ITG HONG KONG LTD
B01484,HARVESTER (SECURITIES) CO LTD
B01591,BRIGHTON SECURITIES (HONG KONG) LTD
B00408,MAINLAND SECURITIES CO
B00338,HUI KWAN KWONG & CO
B01384,ORIENTAL STOCKS & SHARES (INVESTMENT) CO
B01830,MIRAE ASSET SECURITIES (HK) LTD
B01619,TUNG WUI SECURITIES CO LTD
B01004,DASWANI TEK
B02139,WELL LINK INTERNATIONAL SECURITIES LTD
B01621,TOWN HANG SECURITIES CO LTD
B02108,WK SECURITIES LTD
B00850,MELBOURNE INVESTMENT CO
C00047,BANGKOK BANK PUBLIC CO LTD
B01885,HAFOO SECURITIES LTD
B01668,BRIGHT SMART SECURITIES INTERNATIONAL
